,create_Date,last_update, Price ,sales,app_name,Created_by, usd , total , inr-tot ,
59,19-Jan-19, 19 Jan 19, $49 ,7,Weboox Convert - Perfex CRM to app iOS,weboox, $70.00 , $343.00 ," ? 24,010.00 ",
60,19-Jan-19, 19 Jan 19, $20 ,0,Hisn Al-Muslim Azkar & Doaa +Xcode Project,aminokee, $70.00 , $-   , ? -   ,
61,19-Jan-19, 19 Jan 19, $25 ,3,Animal Jigsaw Puzzle Game For Kids + IOS Version,iQueen, $70.00 , $75.00 ," ? 5,250.00 ",
62,19-Jan-19, 19 Jan 19, $24 ,5,World Radio,vora_harikrushna, $70.00 , $120.00 ," ? 8,400.00 ",
63,06-Jan-19, 6 Jan 19, $30 ,1,Riddles Who Am I + Best Riddle Game For Kids + IOS Version,iQueen, $70.00 , $30.00 ," ? 2,100.00 ",
64,06-Jan-19, 6 Jan 19, $24 ,1,Jump Spin Fit - Fun Arcade Game IOS Template + easy to reskine + AdMob,KartoFun, $70.00 , $24.00 ," ? 1,680.00 ",
65,06-Jan-19, 10 Feb 19, $25 ,8,Restorder (iOS) - A single restaurant food ordering app.,BytotechSolution, $70.00 , $200.00 ," ? 14,000.00 ",
66,06-Jan-19, 12 Jan 19, $13 ,0,[FEATURE] Colorado - Amazing Theme Manager iOS,MisterGrizzly, $70.00 , $-   , ? -   ,
67,06-Jan-19, 6 Jan 19, $15 ,0,Kill FLY WITH ADMOB - IOS XCODE FILE,mensellgames, $70.00 , $-   , ? -   ,
68,15-Dec-18, 15 Dec 18, $28 ,1,Christmas ice climber - Xcode Project New Game,aminokee, $67.00 , $28.00 ," ? 1,876.00 ",
69,15-Dec-18, 15 Dec 18, $25 ,2,Heroes Bounce Game- Unity Template,UnityGamesDev, $67.00 , $50.00 ," ? 3,350.00 ",
70,15-Dec-18, 15 Dec 18, $25 ,2,Picture Quiz Game- Unity Template,UnityGamesDev, $67.00 , $50.00 ," ? 3,350.00 ",
71,15-Dec-18, 15 Dec 18, $18 ,2,ZOMBIE JUMP WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $36.00 ," ? 2,412.00 ",
72,15-Dec-18, 15 Dec 18, $249 ,0,Stickman Turbo Dismounting- Unity Template,UnityGamesDev, $67.00 , $-   , ? -   ,
73,15-Dec-18, 15 Dec 18, $149 ,2,Strike Galaxy Attack- Unity Template,UnityGamesDev, $67.00 , $298.00 ," ? 19,966.00 ",
74,15-Dec-18, 15 Dec 18, $14 ,1,Color Jump 3 - Fun Arcade Game IOS Template + easy to reskine + AdMob,KartoFun, $67.00 , $14.00 , ? 938.00 ,
75,15-Dec-18, 9 Feb 19, $53 ,15,Smart Music Dark IOS Swift,lyheangibell, $67.00 , $795.00 ," ? 53,265.00 ",
76,15-Dec-18, 15 Dec 18, $9 ,2,iOS barcode and QR scanner,Reactiveweb, $67.00 , $18.00 ," ? 1,206.00 ",
77,15-Dec-18, 15 Dec 18, $49 ,5,Stickman Shooter Zombie Game- Unity Template,UnityGamesDev, $67.00 , $245.00 ," ? 16,415.00 ",
78,15-Dec-18, 15 Dec 18, $199 ,1,Stickman Shooting- Unity Template,UnityGamesDev, $67.00 , $199.00 ," ? 13,333.00 ",
79,15-Dec-18, 18 Feb 19, $34 ,4,Shambhu's CoffeeBar IOS Multipurpose application with Admin Panel and Driver App,Galaxy1344, $67.00 , $136.00 ," ? 9,112.00 ",
80,15-Dec-18, 26 Jan 19, $30 ,16,Webview - Convert URL/HTML to iOS app + push notification + inApp & much more,appernaut, $67.00 , $480.00 ," ? 32,160.00 ",
81,03-Dec-18, 2 Dec 18, $38 ,0,True False Quiz For iOS,Castle_Software, $67.00 , $-   , ? -   ,
82,03-Dec-18, 2 Dec 18, $18 ,1,STACK JUMP WITH ADMOB - IOS XCODE FILE,DiaaAldeen, $67.00 , $18.00 ," ? 1,206.00 ",
