app_name,publisher,reviwe_rate,review_total,updated_on,downloads,require_android,current_version,size
Neon Butterfly Lotus Glitter Theme,Glossy Themes Launcher,4.7,188,"February 7, 2019","10,000+",4.0.3 and up,1.1.2,3.8M
Fruits Coloring Game & Drawing Book - Kids Game,TIC TIC GAMES,4.8,199,"March 16, 2019","100,000+",4.1 and up,2.0,40M
Idea origami ideas,Putri Mustika,4.3,"1,492","March 14, 2019","500,000+",2.3 and up,5.0,7.1M
Fruit Decorate Tutorial,akhtarfabian,3.9,42,"March 22, 2019","50,000+",4.0 and up,3.0,6.7M
Arabic Post Maker 2019,godwit studios,4.5,"2,066","September 24, 2018","100,000+",4.2 and up,1.0.2,15M
How To Draw Animals,Infokombinat,4.4,"1,129","September 18, 2018","100,000+",4.0 and up,1.3,7.9M
Origami Instructions Step-by-step,Infokombinat,4.2,"1,105","September 20, 2018","100,000+",4.0 and up,1.4,7.3M
How to draw animals,Udenity,4.5,325,"January 26, 2019","50,000+",4.0 and up,0.5.1,4.0M
Egyptian Puzzle,Game Guide Stuido,4.5,473,"April 3, 2019","50,000+",4.0.3 and up,1.3,18M
Embroidery Viewer,Embroidermodder Team,4.0,391,"August 22, 2016","50,000+",4.0.3 and up,1.0,1.5M
How to draw pony,Udenity,4.3,271,"March 16, 2019","50,000+",4.0 and up,1.0.7,11M
Let's Draw,Levitman,4.0,"1,100","October 24, 2018","500,000+",4.0.3 and up,1.38,4.8M
Pixel Draw - Number Art Coloring Book,KidsAppBox,4.4,"2,884","March 12, 2019","500,000+",4.4 and up,1.4,3.3M
"Concepts - Sketch, Design, Illustrate","TopHatch, Inc.",3.9,207,"April 6, 2019","10,000+",7.0 and up,1.3.2,60M
How to draw cute food,Udenity,4.4,185,"March 17, 2019","10,000+",4.0 and up,1.0.7,12M
Drawing Tutorials Animals,akhtarfabian,4.5,16,"March 14, 2019","10,000+",4.0 and up,2.1,4.1M
How to draw 3d drawings step by step,Vercong,4.2,269,"December 10, 2018","50,000+",4.0.3 and up,1.2,7.5M
How to Draw Kawaii Drawings,Sweefit Studios,4.7,"12,380","September 20, 2017","1,000,000+",4.0 and up,1.1,12M
Easy Drawing Ideas,Sketch Art,4.2,956,"October 26, 2018","100,000+",4.0 and up,1.3,5.7M
"Paint Splash - Splatter Paint, Draw, Make Art",WoodenCloset,3.8,"2,480","March 8, 2019","500,000+",4.4 and up,2.21,2.8M
Как сделать мини канцелярию,True Fun Apps,4.3,291,"April 3, 2019","100,000+",4.1 and up,1.6,6.8M
Drawing Cute Chibi Girls,Dabdaa Games,4.3,"1,853","March 22, 2019","100,000+",4.0 and up,1.10,31M
Adobe Photoshop Sketch,Adobe,4.2,"20,226","April 3, 2019","1,000,000+",5.0 and up,2.2.297,Varies with device
Sad Poetry Photo Frames 2018,Simple Developerz free Photo Frames and Dp,4.5,245,"October 2, 2018","100,000+",4.0.3 and up,1.0,10M
Cartoon Sketch,Sitd212,3.9,115,"June 25, 2018","50,000+",2.3 and up,1.0,4.7M
Cute Bear Wallpapers,Realis Wallpaper HD,4.4,599,"March 27, 2019","50,000+",4.1 and up,1.0.3,3.7M
Как сделать канцелярию своими руками,Smart Room Apps,4.3,757,"March 21, 2019","50,000+",4.1 and up,2.0,18M
Anime Wallpaper Sekai,OVA Studio,4.6,"1,423","February 19, 2019","50,000+",4.0.3 and up,3.2,6.6M
