create_Date,last_update,Price,sales,app_name,Created_by
07-Mar-19, 7 Mar 19,$39,1,Data Crusher - Anti Data Recovery Tool for Android (Admob & GDPR),MobiCube
07-Mar-19, 7 Mar 19,$18,1,GIF Maker,vmg_pankaj
25-Feb-19, 7 Mar 19,$19,1,Text Scanner with ML Kit,logsearcher
21-Feb-19, 20 Feb 19,$59,4,Queen Scanner,TopApp2019
21-Feb-19, 20 Feb 19,$48,1,Google Maps Light,TopApp2019
19-Jan-19, 19 Jan 19,$25,7,Ear Agent - Hearing Booster  & AdMob + GDPR,KINGDOV
06-Jan-19, 6 Jan 19,$590,0,Doctor Appointment Booking App For Android,apphpcc
18-Nov-18, 29 Jan 19,$16,6,WhatsApp Direct - Send Message Without Contact Android Code,IBLInfotech
10-Nov-18, 9 Nov 18,$39,0,Exercise Duration App,Titecs
03-Nov-18, 2 Nov 18,$12,5,Firebase - Login and Register with Email,
27-Sep-18, 27 Sep 18,$25,12,Tracker Whatsapp Number - JOKE - ADMOB & GDPR,KINGDOV
05-Sep-18, 7 Mar 19,$69,9,Paperless Queue Management System,logsearcher
22-Aug-18, 22 Aug 18,$14,8,Split Expenses,WDida
11-Jun-18, 11 Jun 18,$19,5,Barcode and QRcode Reader - Create easy QRcode,Kunjo-software-lab
